practice_id,cont_week,cases,sinwe,coswe,population,uk_imdquintile,gp_count,practice_country
12,67,1,0.9709418174260519,-0.23931566428755813,10241,3,7,England
12,68,1,0.9350162426854148,-0.35460488704253545,10241,3,7,England
12,70,1,0.8229838658936571,-0.5680647467311547,10241,3,7,England
12,74,2,0.4647231720437685,-0.8854560256532099,10241,3,7,England
12,77,2,0.12053668025532287,-0.992708874098054,10241,3,7,England
12,80,2,-0.23931566428755807,-0.9709418174260519,10241,3,7,England
12,84,1,-0.6631226582407951,-0.7485107481711012,10241,3,7,England
12,85,3,-0.7485107481711006,-0.6631226582407957,10241,3,7,England
13,17,3,0.8854560256532099,-0.4647231720437685,10519,2,6,England
13,18,1,0.8229838658936565,-0.5680647467311557,10519,2,6,England
13,19,1,0.7485107481711013,-0.663122658240795,10519,2,6,England
13,20,2,0.6631226582407952,-0.7485107481711012,10519,2,6,England
13,21,3,0.5680647467311558,-0.8229838658936564,10519,2,6,England
13,22,1,0.46472317204376906,-0.8854560256532096,10519,2,6,England
13,24,1,0.23931566428755768,-0.970941817426052,10519,2,6,England
13,25,2,0.12053668025532308,-0.992708874098054,10519,2,6,England
13,26,3,-3.216285744678249e-16,-1,10519,2,6,England
13,28,1,-0.23931566428755743,-0.9709418174260521,10519,2,6,England
13,31,2,-0.5680647467311556,-0.8229838658936565,10519,2,6,England
13,35,2,-0.8854560256532096,-0.4647231720437691,10519,2,6,England
13,37,1,-0.970941817426052,-0.23931566428755774,10519,2,6,England
13,38,1,-0.992708874098054,-0.12053668025532357,10519,2,6,England
13,50,1,-0.2393156642875578,0.970941817426052,10519,2,6,England
13,57,1,0.5680647467311555,0.8229838658936566,10519,2,6,England
13,60,1,0.8229838658936558,0.5680647467311567,10519,2,6,England
13,61,1,0.8854560256532099,0.46472317204376845,10519,2,6,England
13,62,1,0.9350162426854147,0.354604887042536,10519,2,6,England
13,64,1,0.9927088740980539,0.12053668025532369,10519,2,6,England
13,68,1,0.9350162426854148,-0.35460488704253545,10519,2,6,England
13,76,2,0.23931566428755877,-0.9709418174260518,10519,2,6,England
13,77,1,0.12053668025532287,-0.992708874098054,10519,2,6,England
16,31,2,-0.5680647467311556,-0.8229838658936565,2170,1,3,Northern Ireland
16,36,2,-0.9350162426854147,-0.3546048870425359,2170,1,3,Northern Ireland
16,38,1,-0.992708874098054,-0.12053668025532357,2170,1,3,Northern Ireland
16,41,2,-0.9709418174260521,0.23931566428755738,2170,1,3,Northern Ireland
16,43,1,-0.8854560256532101,0.464723172043768,2170,1,3,Northern Ireland
16,47,1,-0.5680647467311559,0.8229838658936564,2170,1,3,Northern Ireland
16,48,3,-0.4647231720437684,0.88545602565321,2170,1,3,Northern Ireland
16,56,1,0.46472317204376795,0.8854560256532102,2170,1,3,Northern Ireland
16,58,1,0.6631226582407952,0.7485107481711011,2170,1,3,Northern Ireland
16,69,1,0.8854560256532102,-0.4647231720437679,2170,1,3,Northern Ireland
16,75,4,0.35460488704253607,-0.9350162426854146,2170,1,3,Northern Ireland
17,26,1,-3.216285744678249e-16,-1,15911,3,6,England
17,31,1,-0.5680647467311556,-0.8229838658936565,15911,3,6,England
17,40,1,-0.992708874098054,0.1205366802553232,15911,3,6,England
17,73,1,0.5680647467311568,-0.8229838658936557,15911,3,6,England
23,23,1,0.35460488704253584,-0.9350162426854147,7877,2,9,England
23,24,2,0.23931566428755768,-0.970941817426052,7877,2,9,England
23,34,1,-0.8229838658936564,-0.5680647467311559,7877,2,9,England
23,38,1,-0.992708874098054,-0.12053668025532357,7877,2,9,England
23,39,1,-1,-1.836909530733566e-16,7877,2,9,England
23,40,1,-0.992708874098054,0.1205366802553232,7877,2,9,England
23,41,1,-0.9709418174260521,0.23931566428755738,7877,2,9,England
23,45,2,-0.7485107481711011,0.6631226582407952,7877,2,9,England
23,48,2,-0.4647231720437684,0.88545602565321,7877,2,9,England
23,54,1,0.23931566428755732,0.9709418174260521,7877,2,9,England
23,55,3,0.3546048870425355,0.9350162426854148,7877,2,9,England
23,56,1,0.46472317204376795,0.8854560256532102,7877,2,9,England
23,57,3,0.5680647467311555,0.8229838658936566,7877,2,9,England
23,60,4,0.8229838658936558,0.5680647467311567,7877,2,9,England
23,61,2,0.8854560256532099,0.46472317204376845,7877,2,9,England
23,62,2,0.9350162426854147,0.354604887042536,7877,2,9,England
23,63,2,0.970941817426052,0.23931566428755785,7877,2,9,England
23,65,1,1,3.061515884555943e-16,7877,2,9,England
23,66,1,0.992708874098054,-0.12053668025532309,7877,2,9,England
23,67,1,0.9709418174260519,-0.23931566428755813,7877,2,9,England
23,68,2,0.9350162426854148,-0.35460488704253545,7877,2,9,England
23,70,1,0.8229838658936571,-0.5680647467311547,7877,2,9,England
23,72,1,0.6631226582407956,-0.7485107481711006,7877,2,9,England
23,73,2,0.5680647467311568,-0.8229838658936557,7877,2,9,England
23,74,1,0.4647231720437685,-0.8854560256532099,7877,2,9,England
23,75,1,0.35460488704253607,-0.9350162426854146,7877,2,9,England
23,78,2,3.673819061467132e-16,-1,7877,2,9,England
23,79,2,-0.12053668025532391,-0.9927088740980539,7877,2,9,England
23,81,1,-0.3546048870425354,-0.93501624268541494,7877,2,9,England
23,82,1,-0.46472317204376784,-0.8854560256532102,7877,2,9,England
23,85,1,-0.7485107481711006,-0.6631226582407957,7877,2,9,England
28,23,1,0.35460488704253584,-0.9350162426854147,5630,1,3,England
28,24,1,0.23931566428755768,-0.970941817426052,5630,1,3,England
28,25,1,0.12053668025532308,-0.992708874098054,5630,1,3,England
28,27,1,-0.12053668025532283,-0.992708874098054,5630,1,3,England
28,29,1,-0.3546048870425356,-0.9350162426854148,5630,1,3,England
28,30,2,-0.46472317204376806,-0.8854560256532101,5630,1,3,England
28,31,1,-0.5680647467311556,-0.8229838658936565,5630,1,3,England
28,38,2,-0.992708874098054,-0.12053668025532357,5630,1,3,England
28,57,1,0.5680647467311555,0.8229838658936566,5630,1,3,England
28,58,1,0.6631226582407952,0.7485107481711011,5630,1,3,England
28,70,1,0.8229838658936571,-0.5680647467311547,5630,1,3,England
