practice_id,cont_week,cases,sinwe,coswe,population,uk_imdquintile
2,18,1,0.8229838658936565,-0.5680647467311557,12690,4
2,19,3,0.7485107481711013,-0.663122658240795,12690,4
2,20,3,0.6631226582407952,-0.7485107481711012,12690,4
2,21,2,0.5680647467311558,-0.8229838658936564,12690,4
2,22,2,0.46472317204376906,-0.8854560256532096,12690,4
2,23,3,0.35460488704253584,-0.9350162426854147,12690,4
2,24,3,0.23931566428755768,-0.970941817426052,12690,4
2,25,1,0.12053668025532308,-0.992708874098054,12690,4
2,26,2,-3.216285744678249e-16,-1,12690,4
2,27,2,-0.12053668025532283,-0.992708874098054,12690,4
2,28,1,-0.23931566428755743,-0.9709418174260521,12690,4
2,29,1,-0.3546048870425356,-0.9350162426854148,12690,4
2,30,1,-0.46472317204376806,-0.8854560256532101,12690,4
2,31,2,-0.5680647467311556,-0.8229838658936565,12690,4
2,32,3,-0.663122658240795,-0.7485107481711013,12690,4
2,33,3,-0.7485107481711011,-0.6631226582407952,12690,4
2,34,3,-0.8229838658936564,-0.5680647467311559,12690,4
2,35,2,-0.8854560256532096,-0.4647231720437691,12690,4
2,36,4,-0.9350162426854147,-0.3546048870425359,12690,4
2,37,1,-0.970941817426052,-0.23931566428755774,12690,4
2,39,4,-1,-1.836909530733566e-16,12690,4
2,40,1,-0.992708874098054,0.1205366802553232,12690,4
2,42,1,-0.9350162426854148,0.35460488704253557,12690,4
2,43,3,-0.8854560256532101,0.464723172043768,12690,4
2,45,1,-0.7485107481711011,0.6631226582407952,12690,4
2,46,3,-0.6631226582407955,0.7485107481711007,12690,4
2,47,4,-0.5680647467311559,0.8229838658936564,12690,4
2,48,2,-0.4647231720437684,0.88545602565321,12690,4
2,49,2,-0.35460488704253595,0.9350162426854147,12690,4
2,50,2,-0.2393156642875578,0.970941817426052,12690,4
2,51,1,-0.12053668025532363,0.992708874098054,12690,4
2,52,1,6.432571489356498e-16,1,12690,4
2,53,1,0.12053668025532314,0.992708874098054,12690,4
2,54,1,0.23931566428755732,0.9709418174260521,12690,4
2,56,3,0.46472317204376795,0.8854560256532102,12690,4
2,57,1,0.5680647467311555,0.8229838658936566,12690,4
2,58,2,0.6631226582407952,0.7485107481711011,12690,4
2,59,3,0.7485107481711007,0.6631226582407956,12690,4
2,60,2,0.8229838658936558,0.5680647467311567,12690,4
2,61,1,0.8854560256532099,0.46472317204376845,12690,4
2,62,2,0.9350162426854147,0.354604887042536,12690,4
2,63,3,0.970941817426052,0.23931566428755785,12690,4
2,64,1,0.9927088740980539,0.12053668025532369,12690,4
2,65,1,1,3.061515884555943e-16,12690,4
2,66,2,0.992708874098054,-0.12053668025532309,12690,4
2,67,2,0.9709418174260519,-0.23931566428755813,12690,4
2,68,4,0.9350162426854148,-0.35460488704253545,12690,4
2,69,1,0.8854560256532102,-0.4647231720437679,12690,4
2,70,2,0.8229838658936571,-0.5680647467311547,12690,4
2,71,1,0.7485107481711012,-0.6631226582407952,12690,4
2,72,3,0.6631226582407956,-0.7485107481711006,12690,4
2,73,3,0.5680647467311568,-0.8229838658936557,12690,4
2,74,1,0.4647231720437685,-0.8854560256532099,12690,4
2,75,1,0.35460488704253607,-0.9350162426854146,12690,4
2,76,1,0.23931566428755877,-0.9709418174260518,12690,4
2,77,1,0.12053668025532287,-0.992708874098054,12690,4
2,78,1,3.673819061467132e-16,-1,12690,4
2,79,1,-0.12053668025532391,-0.9927088740980539,12690,4
2,80,3,-0.23931566428755807,-0.9709418174260519,12690,4
2,81,1,-0.3546048870425354,-0.93501624268541494,12690,4
2,82,2,-0.46472317204376784,-0.8854560256532102,12690,4
2,83,1,-0.5680647467311561,-0.8229838658936561,12690,4
2,86,1,-0.8229838658936557,-0.5680647467311568,12690,4
2,87,1,-0.885456025653209,-0.4647231720437701,12690,4
3,5,1,0.5680647467311558,0.8229838658936564,13185,3
3,6,1,0.6631226582407952,0.7485107481711011,13185,3
3,7,1,0.7485107481711011,0.6631226582407953,13185,3
3,8,1,0.8229838658936564,0.5680647467311559,13185,3
3,20,4,0.6631226582407952,-0.7485107481711012,13185,3
3,21,1,0.5680647467311558,-0.8229838658936564,13185,3
3,22,1,0.46472317204376906,-0.8854560256532096,13185,3
3,23,2,0.35460488704253584,-0.9350162426854147,13185,3
3,24,5,0.23931566428755768,-0.970941817426052,13185,3
3,25,3,0.12053668025532308,-0.992708874098054,13185,3
3,26,1,-3.216285744678249e-16,-1,13185,3
3,27,2,-0.12053668025532283,-0.992708874098054,13185,3
3,29,2,-0.3546048870425356,-0.9350162426854148,13185,3
3,32,2,-0.663122658240795,-0.7485107481711013,13185,3
