practice_id,cont_week,cases,sinwe,coswe,population,uk_imdquintile,gp_count,practice_country
1,45,1,-0.7485107481711011,0.6631226582407952,10409,3,10,England
1,60,1,0.8229838658936558,0.5680647467311567,10409,3,10,England
1,64,1,0.9927088740980539,0.12053668025532369,10409,3,10,England
1,67,1,0.9709418174260519,-0.23931566428755813,10409,3,10,England
1,70,1,0.8229838658936571,-0.5680647467311547,10409,3,10,England
1,83,1,-0.5680647467311561,-0.8229838658936561,10409,3,10,England
1,85,1,-0.7485107481711006,-0.6631226582407957,10409,3,10,England
1,87,3,-0.885456025653209,-0.4647231720437701,10409,3,10,England
1,93,1,-0.9709418174260523,0.23931566428755627,10409,3,10,England
1,98,1,-0.6631226582407957,0.7485107481711006,10409,3,10,England
1,99,1,-0.5680647467311554,0.8229838658936567,10409,3,10,England
1,104,1,1.2865142978712996e-15,1,10409,3,10,England
1,108,1,0.46472317204376773,0.8854560256532104,10409,3,10,England
1,111,1,0.7485107481711005,0.6631226582407957,10409,3,10,England
1,116,1,0.992708874098054,0.12053668025532305,10409,3,10,England
1,119,1,0.9709418174260525,-0.23931566428755616,10409,3,10,England
1,121,1,0.8854560256532096,-0.46472317204376923,10409,3,10,England
1,125,1,0.5680647467311569,-0.8229838658936556,10409,3,10,England
1,127,1,0.3546048870425363,-0.9350162426854146,10409,3,10,England
1,128,1,0.23931566428755902,-0.9709418174260517,10409,3,10,England
2,47,1,-0.5680647467311559,0.8229838658936564,12690,4,7,Scotland
2,50,1,-0.2393156642875578,0.970941817426052,12690,4,7,Scotland
2,53,2,0.12053668025532314,0.992708874098054,12690,4,7,Scotland
2,57,1,0.5680647467311555,0.8229838658936566,12690,4,7,Scotland
2,64,1,0.9927088740980539,0.12053668025532369,12690,4,7,Scotland
2,65,1,1,3.061515884555943e-16,12690,4,7,Scotland
2,66,1,0.992708874098054,-0.12053668025532309,12690,4,7,Scotland
2,68,1,0.9350162426854148,-0.35460488704253545,12690,4,7,Scotland
2,76,1,0.23931566428755877,-0.9709418174260518,12690,4,7,Scotland
2,77,1,0.12053668025532287,-0.992708874098054,12690,4,7,Scotland
2,83,2,-0.5680647467311561,-0.8229838658936561,12690,4,7,Scotland
2,85,3,-0.7485107481711006,-0.6631226582407957,12690,4,7,Scotland
2,87,3,-0.885456025653209,-0.4647231720437701,12690,4,7,Scotland
2,90,1,-0.992708874098054,-0.12053668025532294,12690,4,7,Scotland
2,92,1,-0.9927088740980541,0.12053668025532208,12690,4,7,Scotland
2,93,1,-0.9709418174260523,0.23931566428755627,12690,4,7,Scotland
2,95,2,-0.8854560256532102,0.4647231720437678,12690,4,7,Scotland
2,96,1,-0.8229838658936561,0.5680647467311561,12690,4,7,Scotland
2,100,1,-0.4647231720437686,0.8854560256532099,12690,4,7,Scotland
